close,color,current_close,high,low,open,prev_close,symbol,timestamp,volume
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:24,0.98135
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:26,1.02214
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:27,1.03562
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:28,1.03792
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:30,1.25144
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:31,1.26463
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:32,1.26463
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:34,1.29033
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:35,1.48249
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:37,1.51545
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:38,1.52652
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:39,1.53073
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:41,1.73859
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:42,1.74718
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:43,1.75052
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:44,1.75116
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:46,1.94483
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:47,1.94514
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:48,1.94728
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:50,1.96178
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:51,1.98224
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:52,1.98224
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:53,2.18196
117084.28,red,117084.28,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:55,2.22513
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:56,2.24655
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:57,2.25932
117084.29,green,117084.29,117084.29,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:30:59,2.57208
117084.28,red,117084.28,117084.28,117084.28,117084.28,117084.28,BTCUSDT,2025-09-19 10:31:00,0.0
